codigo,materia,numero_tema,tema,apartado,subapartado,concepto,objetivo_aprendizaje,perspectiva,nivel_pedagogico,dificultad_conceptual,dificultad_examen,tipo_trampa,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion,documento_referencia,pagina_inicio,pagina_fin,referencia_fuente,frecuencia_historica
SMS-T21-0181,Ley 40/2015 — Régimen jurídico del sector público,21,"La Ley 40/2015, de 1 de octubre, de Régimen Jurídico del Sector Público (II). Funcionamiento electrónico del sector público. El reglamento de actuación y funcionamiento del sector público por medios electrónicos: comunicaciones y notificaciones electrónicas; el expediente administrativo electrónico.",Funcionamiento electrónico del sector público,"Sede electrónica, portal e identificación",Titularidad admisible de la sede,Aplicar la titularidad legal de una sede electrónica,caso_practico,consolidacion,medio,medio,concepto_proximo,Una dirección electrónica pública es accesible por redes de telecomunicaciones. ¿Qué titularidad encaja en la definición legal de sede electrónica?,Una Administración Pública o uno o varios organismos públicos o entidades de Derecho Público,Cualquier sociedad privada contratista que mantenga el servidor,Exclusivamente un ministerio de la Administración General del Estado,Únicamente una autoridad administrativa independiente,A,La sede puede ser de una Administración Pública o de uno o varios organismos públicos o entidades de Derecho Público en el ejercicio de sus competencias.,Temario_new.pdf,79,79,"Ley 40/2015, artículo 38.1",no_determinada
SMS-T21-0182,Ley 40/2015 — Régimen jurídico del sector público,21,"La Ley 40/2015, de 1 de octubre, de Régimen Jurídico del Sector Público (II). Funcionamiento electrónico del sector público. El reglamento de actuación y funcionamiento del sector público por medios electrónicos: comunicaciones y notificaciones electrónicas; el expediente administrativo electrónico.",Funcionamiento electrónico del sector público,"Sede electrónica, portal e identificación",Sede electrónica y disponibilidad,Distinguir sede de una simple dirección electrónica,diferenciacion,consolidacion,medio,medio,concepto_proximo,"¿Qué elemento, además de la titularidad pública, forma parte de la definición de sede electrónica del artículo 38.1?",Que sea una dirección accesible únicamente desde terminales instalados en oficinas administrativas,Que toda la información publicada incorpore una firma electrónica individual del órgano responsable,Que el acceso de los ciudadanos exija siempre un certificado electrónico cualificado de identificación,Que sea una dirección electrónica disponible para los ciudadanos a través de redes de telecomunicaciones,D,La definición exige una dirección electrónica disponible para los ciudadanos a través de redes de telecomunicaciones.,Temario_new.pdf,79,79,"Ley 40/2015, artículo 38.1",no_determinada
SMS-T21-0183,Ley 40/2015 — Régimen jurídico del sector público,21,"La Ley 40/2015, de 1 de octubre, de Régimen Jurídico del Sector Público (II). Funcionamiento electrónico del sector público. El reglamento de actuación y funcionamiento del sector público por medios electrónicos: comunicaciones y notificaciones electrónicas; el expediente administrativo electrónico.",Funcionamiento electrónico del sector público,"Sede electrónica, portal e identificación",Garantías de creación de la sede,Reconocer una garantía obligatoria al crear una sede,requisitos,consolidacion,medio,medio,omision,"Al crear una sede electrónica, ¿qué debe garantizarse en todo caso además de identificar al órgano titular?",La publicación diaria de una memoria de actividad,La existencia de un canal telefónico gratuito permanente,Los medios disponibles para formular sugerencias y quejas,La identificación nominal de todos los empleados que gestionan la sede,C,El artículo 38.3 exige garantizar la identificación del órgano titular y los medios disponibles para la formulación de sugerencias y quejas.,Temario_new.pdf,79,79,"Ley 40/2015, artículo 38.3",no_determinada
SMS-T21-0184,Ley 40/2015 — Régimen jurídico del sector público,21,"La Ley 40/2015, de 1 de octubre, de Régimen Jurídico del Sector Público (II). Funcionamiento electrónico del sector público. El reglamento de actuación y funcionamiento del sector público por medios electrónicos: comunicaciones y notificaciones electrónicas; el expediente administrativo electrónico.",Funcionamiento electrónico del sector público,"Sede electrónica, portal e identificación",Identificación por información propia,Aplicar cuándo opera la identificación de la Administración en el portal,aplicacion,tribunal,medio,medio,concepto_proximo,Un portal distingue expresamente como ajena una información de otra entidad. ¿Se entiende identificada su Administración respecto de esa información por el artículo 40.2?,"No, la regla se refiere a la información que la Administración publique como propia","Sí, por el mero hecho de alojarse materialmente en el portal","Sí, siempre que el contenido sea accesible sin autenticación","No, porque una Administración nunca se identifica mediante su portal",A,La identificación del artículo 40.2 opera respecto de la información que se publique como propia en el portal.,Temario_new.pdf,80,81,"Ley 40/2015, artículo 40.2",no_determinada
SMS-T21-0185,Ley 40/2015 — Régimen jurídico del sector público,21,"La Ley 40/2015, de 1 de octubre, de Régimen Jurídico del Sector Público (II). Funcionamiento electrónico del sector público. El reglamento de actuación y funcionamiento del sector público por medios electrónicos: comunicaciones y notificaciones electrónicas; el expediente administrativo electrónico.",Comunicaciones y notificaciones electrónicas,Práctica de notificaciones electrónicas,Comparecencia voluntaria y rechazo,Aplicar los efectos del rechazo expreso en comparecencia voluntaria,caso_practico,consolidacion,medio,medio,cambio_condicion,Una persona no obligada comparece voluntariamente en la DEHú y rechaza expresamente la notificación. ¿Qué efecto produce esa actuación?,"Ninguno, porque no había elegido previamente el canal electrónico",Solo produce efectos si ratifica el rechazo en papel,Obliga a repetir la notificación por correo postal,Tiene plenos efectos jurídicos,D,El artículo 42.2 atribuye plenos efectos al posterior acceso al contenido o al rechazo expreso tras la comparecencia voluntaria.,Temario_new.pdf,88,88,"Real Decreto 203/2021, artículo 42.2",no_determinada
SMS-T21-0186,Ley 40/2015 — Régimen jurídico del sector público,21,"La Ley 40/2015, de 1 de octubre, de Régimen Jurídico del Sector Público (II). Funcionamiento electrónico del sector público. El reglamento de actuación y funcionamiento del sector público por medios electrónicos: comunicaciones y notificaciones electrónicas; el expediente administrativo electrónico.",Comunicaciones y notificaciones electrónicas,Práctica de notificaciones electrónicas,Representante y comparecencia voluntaria,Reconocer que la comparecencia voluntaria puede realizarla el representante,cambio_condicion,consolidacion,medio,medio,concepto_proximo,"Para que opere la regla de comparecencia electrónica voluntaria del artículo 42.2, ¿puede comparecer el representante del interesado?",Sí; la regla contempla al interesado o a su representante,No; solo puede comparecer personalmente el interesado,"Sí, pero únicamente si el interesado está obligado al canal electrónico",No; la representación solo es válida en la sede y nunca en la DEHú,A,El precepto contempla expresamente la comparecencia voluntaria del interesado o de su representante.,Temario_new.pdf,88,88,"Real Decreto 203/2021, artículo 42.2",no_determinada
SMS-T21-0187,Ley 40/2015 — Régimen jurídico del sector público,21,"La Ley 40/2015, de 1 de octubre, de Régimen Jurídico del Sector Público (II). Funcionamiento electrónico del sector público. El reglamento de actuación y funcionamiento del sector público por medios electrónicos: comunicaciones y notificaciones electrónicas; el expediente administrativo electrónico.",Comunicaciones y notificaciones electrónicas,Aviso y Dirección Electrónica Habilitada única,Procedimiento de oficio y primera notificación en papel,Aplicar el requisito de iniciación de oficio de la excepción inicial en papel,cambio_condicion,tribunal,medio,medio,excepcion,"Un sujeto está obligado a relacionarse electrónicamente y la Administración no dispone de datos de contacto para el aviso, pero el procedimiento no se ha iniciado de oficio. ¿Basta ese solo hecho para aplicar la excepción de primera notificación en papel del artículo 43.2?",Sí; la falta de datos de contacto convierte siempre la primera notificación en una notificación en papel,Sí; basta con que el destinatario esté obligado a relacionarse electrónicamente con la Administración,No; la regla citada vincula esa primera notificación en papel a los procedimientos iniciados de oficio,No; porque el Reglamento prohíbe en todo caso notificar en papel a cualquier sujeto obligado electrónicamente,C,El artículo 43.2 formula la excepción para procedimientos iniciados de oficio cuando el sujeto está obligado y faltan datos electrónicos de contacto para el aviso.,Temario_new.pdf,91,91,"Real Decreto 203/2021, artículo 43.2",no_determinada
SMS-T21-0188,Ley 40/2015 — Régimen jurídico del sector público,21,"La Ley 40/2015, de 1 de octubre, de Régimen Jurídico del Sector Público (II). Funcionamiento electrónico del sector público. El reglamento de actuación y funcionamiento del sector público por medios electrónicos: comunicaciones y notificaciones electrónicas; el expediente administrativo electrónico.",Comunicaciones y notificaciones electrónicas,Aviso y Dirección Electrónica Habilitada única,Alojamiento de la DEHú,Identificar dónde se aloja la DEHú,reconocimiento_directo,consolidacion,medio,medio,concepto_proximo,¿Dónde se aloja la Dirección Electrónica Habilitada única según el artículo 44.2?,En cualquier portal privado homologado,En la sede electrónica del PAGe de la Administración General del Estado,En las sedes de cada comunidad autónoma de manera exclusiva,En el Registro Electrónico General como única ubicación,B,La DEHú se aloja en la sede electrónica del PAGe de la Administración General del Estado.,Temario_new.pdf,91,91,"Real Decreto 203/2021, artículo 44.2",no_determinada
SMS-T21-0189,Ley 40/2015 — Régimen jurídico del sector público,21,"La Ley 40/2015, de 1 de octubre, de Régimen Jurídico del Sector Público (II). Funcionamiento electrónico del sector público. El reglamento de actuación y funcionamiento del sector público por medios electrónicos: comunicaciones y notificaciones electrónicas; el expediente administrativo electrónico.",Expediente administrativo electrónico,Documento electrónico y copias,Objeto de la digitalización del artículo 49,Distinguir los documentos en papel comprendidos por la regla,clasificacion,consolidacion,medio,medio,concepto_proximo,La regla del artículo 49 sobre digitalización se aplica cuando el interesado presenta en papel:,Solo una copia en papel de un documento público administrativo original emitido por la propia Administración,Solo una copia en papel de un documento privado cuando el interesado acredite previamente su autenticidad,Una copia en papel de un documento público administrativo o privado presentada para incorporarla al expediente,Únicamente una copia auténtica en papel expedida por un órgano de la Administración que tramita el procedimiento,C,El precepto contempla una copia en papel de un documento público administrativo o de un documento privado presentada para incorporarse a un expediente.,Temario_new.pdf,95,95,"Real Decreto 203/2021, artículo 49",no_determinada
SMS-T21-0190,Ley 40/2015 — Régimen jurídico del sector público,21,"La Ley 40/2015, de 1 de octubre, de Régimen Jurídico del Sector Público (II). Funcionamiento electrónico del sector público. El reglamento de actuación y funcionamiento del sector público por medios electrónicos: comunicaciones y notificaciones electrónicas; el expediente administrativo electrónico.",Expediente administrativo electrónico,Documento electrónico y copias,Digitalización realizada por la Administración,Distinguir el proceso administrativo de digitalización previsto en el artículo 49,cambio_condicion,tribunal,medio,medio,cambio_condicion,"El interesado escanea por su cuenta una copia en papel y remite el archivo, sin que la Administración realice el proceso de digitalización previsto en el artículo 49. ¿Puede atribuirse al archivo, solo por ese hecho, el valor que ese artículo reconoce a la copia electrónica generada por la Administración?",Sí; cualquier escaneo realizado por el interesado produce automáticamente el efecto previsto en el artículo 49,No; la regla se refiere a la copia electrónica generada por el proceso de digitalización de la Administración,Sí; siempre que el archivo digital tenga el mismo aspecto visual que la copia presentada originalmente,No; porque el artículo 49 excluye por completo la digitalización de documentos privados aportados en papel,B,El artículo 49 atribuye el efecto a la copia electrónica generada por el proceso de digitalización realizado por la Administración Pública.,Temario_new.pdf,95,95,"Real Decreto 203/2021, artículo 49",no_determinada
